日期,AQI,质量等级,PM2.5含量/ppm,PM10含量/ppm,SO2含量/ppm,CO含量/ppm,NO2含量/ppm,O3含量/ppm
2023-07-19,37,优,13,19,6,1.0,29,67
2023-07-20,49,优,21,30,7,0.7,25,98
2023-07-21,48,优,20,32,6,0.7,26,96
2023-07-22,55,良,14,37,6,0.6,21,105
2023-07-23,38,优,10,27,7,0.6,22,76
2023-07-24,44,优,12,19,5,0.7,35,75
2023-07-25,58,良,13,31,7,0.7,39,109
2023-07-26,70,良,26,44,7,0.7,26,124
2023-07-27,53,良,22,39,7,1.1,42,44
2023-07-28,33,优,11,23,6,0.7,26,64
2023-07-29,56,良,28,48,6,0.9,24,107
2023-07-30,81,良,24,45,7,0.9,25,137
2023-07-31,50,优,9,33,7,0.5,24,99
2023-08-01,99,良,15,33,8,0.6,23,158
2023-08-02,65,良,25,47,7,0.9,40,117
2023-08-03,55,良,18,38,6,0.7,23,106
2023-08-04,48,优,9,30,6,0.6,20,95
2023-08-05,60,良,23,51,7,1.0,41,111
2023-08-06,36,优,8,27,6,0.7,20,72
2023-08-07,36,优,10,27,6,0.6,19,71
2023-08-08,37,优,16,36,7,0.6,24,73
2023-08-09,35,优,18,33,7,0.8,28,66
2023-08-10,30,优,11,20,7,0.8,24,53
2023-08-11,44,优,15,27,6,0.7,20,88
2023-08-12,27,优,8,23,6,0.6,16,53
2023-08-13,40,优,11,26,7,0.7,24,80
2023-08-14,46,优,10,28,7,0.6,21,91
2023-08-15,75,良,15,34,7,0.6,28,129
2023-08-16,96,良,19,43,8,0.8,29,155
2023-08-17,91,良,21,45,8,0.7,23,149
2023-08-18,77,良,30,55,8,0.5,18,132
2023-08-19,77,良,26,49,8,0.6,25,132
2023-08-20,130,轻度污染,21,41,8,0.8,30,193
2023-08-21,88,良,27,45,8,0.9,28,145
2023-08-22,87,良,31,53,7,0.8,22,144
2023-08-23,112,轻度污染,35,59,8,0.6,17,173
2023-08-24,91,良,33,58,10,0.8,28,149
2023-08-25,64,良,24,43,9,0.6,26,116
2023-08-26,72,良,26,41,8,0.7,20,126
2023-08-27,75,良,15,29,8,0.6,21,129
2023-08-28,54,良,26,53,12,0.9,39,104
2023-08-29,82,良,28,53,11,1.0,35,138
2023-08-30,100,良,24,40,9,0.8,32,160
2023-08-31,55,良,23,43,10,0.9,44,87
2023-09-01,49,优,20,37,10,0.9,39,78
2023-09-02,50,优,21,35,8,0.7,26,99
2023-09-03,89,良,24,49,11,0.7,45,146
2023-09-04,85,良,24,56,8,0.7,42,141
2023-09-05,104,轻度污染,31,62,14,0.8,42,164
2023-09-06,116,轻度污染,26,54,10,0.6,38,177
2023-09-07,114,轻度污染,34,65,11,0.8,58,175
2023-09-08,101,轻度污染,38,81,12,0.9,58,161
2023-09-09,86,良,46,82,13,0.9,65,143
2023-09-10,69,良,50,73,10,1.0,52,84
2023-09-11,75,良,24,43,8,0.9,31,130
2023-09-12,72,良,26,46,12,0.9,41,126
2023-09-13,67,良,29,48,9,0.8,30,120
2023-09-14,89,良,33,53,9,0.8,29,146
2023-09-15,38,优,16,24,7,0.8,30,64
2023-09-16,52,良,19,27,8,0.8,36,102
2023-09-17,49,优,15,22,7,0.7,28,98
2023-09-18,43,优,14,20,7,0.5,20,86
2023-09-19,70,良,21,36,9,0.7,27,124
2023-09-20,90,良,26,44,9,0.7,28,148
2023-09-21,50,优,19,37,9,0.6,29,100
2023-09-22,55,良,31,36,8,0.7,29,105
2023-09-23,46,优,17,33,7,0.7,33,92
2023-09-24,60,良,27,51,10,0.7,48,106
2023-09-25,62,良,21,47,9,0.7,43,114
2023-09-26,74,良,29,53,9,0.7,37,128
2023-09-27,60,良,18,41,9,0.6,25,112
